ID,Name,Nationality,Date Of Birth,Height,Position,Appearances,Wins,Losses,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Clean sheets,Goals Conceded,Errors leading to goal,Own goals,Yellow cards,Red cards,Fouls,Goals,Assists,Passes,Passes per match,Accurate long balls,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Big Chances Created,Crosses,Cross accuracy %,Through balls,Offsides,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Club
455,Ray Wilkins,England,14/09/1956,173cm,Midfielder,84,33,31,,,,,,,,,,,0,,4,0,0,3,13,0,84,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.04,0,0,0,0,0%,0,
456,Andy Sinton,England,19/03/1966,173cm,Midfielder,179,55,76,,,,,,,,,,,0,,13,0,0,16,24,0,179,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.09,0,0,0,0,0%,0,
457,Marvin Bryan,England,02/08/1975,183cm,Midfielder,0,0,0,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0%,0,
458,Devon White,England,02/03/1964,191cm,Midfielder,26,10,8,,,,,,,,,,,0,,3,0,0,9,3,0,26,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.35,0,0,0,0,0%,0,
459,Michael Meaker,Wales,18/08/1971,180cm,Midfielder,25,6,11,,,,,,,,,,,0,,2,0,0,1,1,0,25,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.04,0,0,0,0,0%,0,
460,Simon Barker,England,04/11/1964,175cm,Midfielder,132,50,48,,,,,,,,,,,0,,23,1,0,15,12,0,132,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.11,0,0,0,0,0%,0,
461,Dennis Bailey,England,13/11/1965,178cm,Forward,15,4,7,,,,,,,,,,,,,0,0,0,1,1,0,15,,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.07,0,0,0,0,0%,0,
462,Les Ferdinand,England,08/12/1966,180cm,Forward,351,138,119,,,,,,,,,,,,,43,3,0,149,49,0,351,,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.42,0,0,0,0,0%,0,
463,Bradley Allen,England,13/09/1971,170cm,Forward,59,23,24,,,,,,,,,,,,,3,0,0,20,6,0,59,,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.34,0,0,0,0,0%,0,
464,Garry Thompson,England,07/10/1959,185cm,Forward,4,2,1,,,,,,,,,,,,,0,0,0,0,0,0,4,,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,4,0,0,0,0,0%,0,
465,Gary Penrice,England,23/03/1964,173cm,Forward,63,21,24,,,,,,,,,,,,,5,0,0,17,3,0,63,,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.27,0,0,0,0,0%,0,
466,Dougie Freedman,Scotland,25/05/1974,175cm,Forward,58,12,31,,,,,,,,,,,,,1,0,0,10,3,0,58,,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.17,0,0,0,0,0%,0,
468,Simon Tracey,England,09/12/1967,183cm,Goalkeeper,30,7,12,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,Alan Kelly,Ireland,11/08/1968,189cm,Goalkeeper,66,17,28,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,1,0,66,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,David Walton,England,10/04/1973,188cm,Defender,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
471,Paul Beesley,England,21/07/1965,185cm,Defender,86,26,36,,,,,,,,,25,0,0,0,14,0,0,2,2,0,86,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
472,Kevin Gage,England,21/04/1964,178cm,Defender,48,12,19,,,,,,,,,13,0,0,0,3,0,0,0,2,0,48,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
473,Ian Bryson,Scotland,26/11/1962,180cm,Defender,16,5,9,,,,,,,,,2,0,0,0,0,0,0,3,0,0,16,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
474,Tom Cowan,Scotland,28/06/1969,174cm,Defender,25,7,12,,,,,,,,,6,0,0,0,1,0,0,0,0,0,25,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
475,Dave Barnes,England,16/11/1961,183cm,Defender,15,4,9,,,,,,,,,2,0,0,0,4,0,0,0,0,0,15,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
476,Brian Gayle,England,06/03/1965,188cm,Defender,44,14,15,,,,,,,,,14,0,0,0,5,0,0,5,4,0,44,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
477,Jamie Hoyland,England,23/01/1966,183cm,Defender,40,10,20,,,,,,,,,12,0,0,0,3,0,0,2,2,0,40,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
478,Carl Bradshaw,England,10/02/1968,180cm,Midfielder,98,23,41,,,,,,,,,,,0,,12,2,0,3,4,0,98,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.03,0,0,0,0,0%,0,
479,Paul Rogers,England,21/03/1965,183cm,Midfielder,52,14,20,,,,,,,,,,,0,,5,0,0,6,1,0,52,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.12,0,0,0,0,0%,0,
480,Glyn Hodges,Wales,30/04/1963,183cm,Midfielder,67,16,29,,,,,,,,,,,0,,10,1,0,6,10,0,67,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.09,0,0,0,0,0%,0,
481,John Gannon,England,18/12/1966,173cm,Midfielder,41,12,15,,,,,,,,,,,0,,5,0,0,1,3,0,41,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.02,0,0,0,0,0%,0,
482,Mitch Ward,England,19/06/1971,173cm,Midfielder,72,18,31,,,,,,,,,,,0,,8,0,0,1,4,0,72,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.01,0,0,0,0,0%,0,
483,John Pemberton,England,18/11/1964,180cm,Midfielder,80,30,25,,,,,,,,,,,0,,23,1,0,0,2,0,80,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,80,0,0,0,0,0%,0,
484,Dane Whitehouse,England,14/10/1970,178cm,Midfielder,52,15,17,,,,,,,,,,,0,,12,0,0,10,8,0,52,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.19,0,0,0,0,0%,0,
485,Charlie Hartfield,England,14/09/1971,183cm,Midfielder,22,7,8,,,,,,,,,,,0,,3,0,0,0,1,0,22,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,22,0,0,0,0,0%,0,
486,Peter Duffield,England,04/02/1965,168cm,Forward,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0%,0,
487,Andrew Scott,England,02/08/1972,185cm,Forward,17,3,8,,,,,,,,,,,,,1,0,0,2,0,0,17,,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.12,0,0,0,0,0%,0,
488,Brian Deane,England,07/02/1968,191cm,Forward,286,97,97,,,,,,,,,,,,,40,0,0,71,41,0,286,,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.25,0,0,0,0,0%,0,
489,Alan Cork,England,04/03/1959,183cm,Forward,46,10,23,,,,,,,,,,,,,0,1,0,5,1,0,46,,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.11,0,0,0,0,0%,0,
490,Adrian Littlejohn,England,26/09/1970,175cm,Forward,46,13,20,,,,,,,,,,,,,4,0,0,11,3,0,46,,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.24,0,0,0,0,0%,0,
491,Franz Carr,England,24/09/1966,170cm,Forward,39,8,19,,,,,,,,,,,,,2,0,0,5,3,0,39,,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.13,0,0,0,0,0%,0,
493,Chris Woods,England,14/11/1959,188cm,Goalkeeper,70,19,28,0,0,0,0,0,0,0,0,17,0,0,0,1,0,0,0,1,0,70,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,Lance Key,England,17/05/1968,188cm,Goalkeeper,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,Kevin Pressman,England,06/11/1967,185cm,Goalkeeper,207,69,81,0,0,0,0,0,0,0,0,49,0,0,0,3,1,0,0,1,0,207,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,Nigel Worthington,Northern Ireland,04/11/1961,180cm,Defender,114,40,32,,,,,,,,,28,0,0,0,10,1,0,3,7,0,114,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
497,Carlton Palmer,England,05/12/1965,188cm,Defender,261,94,95,,,,,,,,,70,0,0,0,60,5,0,15,11,0,261,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
498,Phil King,England,28/12/1967,173cm,Defender,38,8,15,,,,,,,,,4,0,0,0,1,0,0,1,3,0,38,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
499,Viv Anderson,England,29/07/1956,185cm,Defender,26,10,9,,,,,,,,,5,0,0,0,3,0,0,3,0,0,26,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
500,Simon Stewart,England,01/11/1973,185cm,Defender,6,3,2,,,,,,,,,2,0,0,0,2,0,0,0,0,0,6,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
501,Paul Warhurst,England,26/09/1969,185cm,Defender,144,54,51,,,,,,,,,16,0,0,1,19,1,0,13,7,0,144,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
502,Julian Watts,England,17/03/1971,191cm,Defender,45,13,22,,,,,,,,,7,0,0,0,5,0,0,2,0,0,45,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
503,Nigel Pearson,England,21/08/1963,185cm,Defender,75,21,28,,,,,,,,,14,0,0,0,8,1,0,1,1,0,75,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
504,Roland Nilsson,Sweden,27/11/1963,178cm,Defender,130,44,40,,,,,,,,,31,0,0,0,4,0,0,1,2,0,130,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
505,Graham Hyde,England,10/11/1970,170cm,Midfielder,159,56,57,,,,,,,,,,,0,,24,0,0,11,7,0,159,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.07,0,0,0,0,0%,0,
506,Chris Waddle,England,14/12/1960,188cm,Midfielder,115,36,42,,,,,,,,,,,0,,2,0,0,11,26,0,115,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.1,0,0,0,0,0%,0,
507,Ryan Jones,England,23/07/1973,191cm,Midfielder,41,18,7,,,,,,,,,,,0,,2,0,0,6,7,0,41,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.15,0,0,0,0,0%,0,
508,John Harkes,United States,08/03/1967,180cm,Midfielder,43,18,15,,,,,,,,,,,0,,3,0,0,2,0,0,43,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.05,0,0,0,0,0%,0,
509,Chris Bart-Williams,England,16/06/1974,180cm,Midfielder,211,71,75,,,,,,,,,,,0,,16,0,0,22,19,0,211,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.1,0,0,0,0,0%,0,
510,John Sheridan,Ireland,01/10/1964,175cm,Midfielder,112,37,44,,,,,,,,,,,0,,9,0,0,7,13,0,112,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.06,0,0,0,0,0%,0,
511,Michael Williams,England,21/11/1969,178cm,Forward,23,9,8,,,,,,,,,,,,,1,0,0,1,1,0,23,,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.04,0,0,0,0,0%,0,
512,Nigel Jemson,England,10/08/1969,180cm,Forward,31,14,9,,,,,,,,,,,,,0,0,0,5,5,0,31,,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.16,0,0,0,0,0%,0,
513,Mark Bright,England,06/06/1962,185cm,Forward,143,47,50,,,,,,,,,,,,,10,0,0,50,13,0,143,,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.35,0,0,0,0,0%,0,
514,David Hirst,England,07/12/1967,180cm,Forward,135,43,51,,,,,,,,,,,,,12,1,0,43,17,0,135,,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.32,0,0,0,0,0%,0,
515,Trevor Francis,England,19/04/1954,178cm,Forward,6,1,3,,,,,,,,,,,,,0,0,0,0,0,0,6,,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,6,0,0,0,0,0%,0,
516,Gordon Watson,England,20/03/1971,178cm,Forward,108,38,41,,,,,,,,,,,,,5,2,0,23,8,0,108,,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.21,0,0,0,0,0%,0,
518,Ian Andrews,England,01/12/1964,188cm,Goalkeeper,5,2,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,Tim Flowers,England,03/02/1967,188cm,Goalkeeper,286,123,98,0,0,0,0,0,0,0,0,80,2,0,1,8,3,0,0,2,0,286,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,Micky Adams,England,08/11/1961,173cm,Defender,57,17,27,,,,,,,,,11,2,0,0,8,1,0,4,7,0,57,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
521,Richard Hall,England,14/03/1972,188cm,Defender,106,28,39,,,,,,,,,28,2,0,0,19,0,0,9,2,0,106,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
522,Kenneth Monkou,Netherlands,29/11/1964,191cm,Defender,198,56,94,,,,,,,,,41,2,0,1,45,1,0,10,2,0,198,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
523,Francis Benali,England,30/12/1968,178cm,Defender,243,71,108,,,,,,,,,50,2,0,2,41,5,0,1,4,0,243,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
524,Jeff Kenna,Ireland,27/08/1970,180cm,Defender,290,97,111,,,,,,,,,70,2,0,1,15,0,0,8,20,0,290,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
525,Kevin Moore,England,29/04/1958,183cm,Defender,32,8,17,,,,,,,,,2,0,0,0,3,0,0,2,1,0,32,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
526,Derek Allan,Scotland,24/12/1974,183cm,Defender,1,0,1,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
527,Matt Bound,England,09/11/1972,188cm,Defender,4,1,1,,,,,,,,,0,0,0,0,0,0,0,0,0,0,4,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
528,Jason Dodd,England,02/11/1970,180cm,Defender,329,105,139,,,,,,,,,87,2,0,0,33,2,0,9,26,0,329,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
529,Perry Groves,England,19/04/1965,178cm,Midfielder,16,5,7,,,,,,,,,,,0,,2,0,0,2,1,0,16,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.12,0,0,0,0,0%,0,
530,Neil Maddison,England,02/10/1969,178cm,Midfielder,185,54,84,,,,,,,,,,,0,,11,0,0,17,10,0,185,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.09,0,0,0,0,0%,0,
531,Steve Wood,England,23/06/1963,175cm,Midfielder,31,8,16,,,,,,,,,,,0,,2,0,0,0,0,0,31,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,31,0,0,0,0,0%,0,
532,Paul Tisdale,England,14/01/1973,176cm,Midfielder,16,6,8,,,,,,,,,,,0,,0,0,0,1,1,0,16,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.06,0,0,0,0,0%,0,
533,Matthew Le Tissier,England,14/10/1968,185cm,Midfielder,270,80,124,,,,,,,,,,,0,,49,1,0,100,63,1,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.37,0,0,0,0,0%,0,
534,Terry Hurlock,England,22/09/1958,175cm,Midfielder,32,7,15,,,,,,,,,,,0,,9,1,0,0,0,0,32,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,32,0,0,0,0,0%,0,
535,Tommy Widdrington,England,01/10/1971,178cm,Midfielder,72,22,30,,,,,,,,,,,0,,12,0,0,3,3,1,0.01,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.04,0,0,0,0,0%,0,
536,Neal Bartlett,England,07/04/1975,173cm,Midfielder,8,1,7,,,,,,,,,,,0,,0,0,0,0,1,0,8,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,8,0,0,0,0,0%,0,
537,Glenn Cockerill,England,25/08/1959,178cm,Midfielder,37,8,21,,,,,,,,,,,0,,2,0,0,0,3,0,37,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,37,0,0,0,0,0%,0,
538,Iain Dowie,Northern Ireland,09/01/1965,185cm,Forward,175,59,79,,,,,,,,,,,,,26,0,0,33,15,0,175,,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.19,0,0,0,0,0%,0,
539,Nicky Banger,England,25/02/1971,175cm,Forward,45,12,26,,,,,,,,,,,,,1,0,0,8,4,0,45,,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,1,0,0,0.18,0,0,1,1,100%,0,
540,Paul Moody,England,13/06/1967,191cm,Forward,8,1,3,,,,,,,,,,,,,1,0,0,0,0,0,8,,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,8,0,0,0,0,0%,0,
541,David Speedie,Scotland,20/02/1960,168cm,Forward,11,2,5,,,,,,,,,,,,,2,0,0,0,0,0,11,,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,11,0,0,0,0,0%,0,
542,Lee Powell,Wales,02/06/1973,165cm,Forward,3,0,1,,,,,,,,,,,,,0,0,0,0,0,0,3,,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,3,0,0,0,0,0%,0,
544,Ian Walker,England,31/10/1971,185cm,Goalkeeper,312,91,122,0,0,0,0,0,0,0,0,77,0,0,1,3,1,0,0,2,0,312,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,Erik Thorstvedt,Norway,28/10/1962,194cm,Goalkeeper,60,22,23,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,Kevin Dearden,England,08/03/1970,180cm,Goalkeeper,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,Jason Cundy,England,12/11/1969,183cm,Defender,16,4,8,,,,,,,,,2,0,0,0,2,0,0,1,0,0,16,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
548,Gudni Bergsson,Iceland,21/07/1965,185cm,Defender,135,32,62,,,,,,,,,28,0,0,0,21,1,0,8,4,0,135,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
549,Gary Mabbutt,England,23/08/1961,179cm,Defender,138,55,40,,,,,,,,,38,0,0,0,8,0,0,2,3,0,138,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
550,Terry Fenwick,England,17/11/1959,178cm,Defender,31,3,16,,,,,,,,,3,0,0,0,3,0,0,0,2,0,31,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
551,Justin Edinburgh,England,18/12/1969,175cm,Defender,174,52,74,,,,,,,,,36,0,0,0,34,2,0,0,7,0,174,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
552,David Tuttle,England,02/06/1972,188cm,Defender,45,10,19,,,,,,,,,9,0,0,0,9,1,0,0,0,0,45,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
553,David McDonald,England,02/01/1971,180cm,Defender,2,1,1,,,,,,,,,0,0,0,0,1,0,0,0,0,0,2,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
554,Stuart Nethercott,England,21/03/1973,185cm,Defender,54,19,23,,,,,,,,,4,0,0,0,6,0,0,0,2,0,54,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
555,Dean Austin,England,26/04/1970,180cm,Defender,124,47,41,,,,,,,,,34,0,0,0,23,0,0,0,4,0,124,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
556,Steve Sedgley,England,26/05/1968,185cm,Defender,90,22,45,,,,,,,,,12,0,0,0,4,0,0,13,4,0,90,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
557,Sol Campbell,England,18/09/1974,188cm,Defender,503,212,153,,,,,,,,,154,129,3,4,31,4,81,20,15,"2,365",4.7,154,216,78%,10,6,161,"1,046",259,2,318,496,255,21,166,95,0,12,25%,6,0,1,0,1,1,,,,,,,,
558,Neil Ruddock,England,09/05/1968,188cm,Defender,195,82,58,,,,,,,,,59,0,0,5,41,2,0,16,6,0,195,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
559,Ian Hendon,England,05/12/1971,183cm,Defender,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
560,David Howells,England,15/12/1967,183cm,Midfielder,152,56,55,,,,,,,,,,,0,,19,0,0,9,6,0,152,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.06,0,0,0,0,0%,0,
561,Kevin Watson,England,03/01/1974,183cm,Midfielder,5,1,3,,,,,,,,,,,0,,0,0,0,0,0,0,5,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,5,0,0,0,0,0%,0,
562,Andy Turner,Northern Ireland,23/03/1975,178cm,Midfielder,20,7,7,,,,,,,,,,,0,,0,0,0,3,0,0,20,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.15,0,0,0,0,0%,0,
563,Danny Hill,England,01/10/1974,175cm,Midfielder,10,3,4,,,,,,,,,,,0,,0,0,0,0,2,0,10,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,10,0,0,0,0,0%,0,
564,Lee Hodges,England,09/04/1973,175cm,Midfielder,4,1,2,,,,,,,,,,,0,,0,0,0,0,1,0,4,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,4,0,0,0,0,0%,0,
565,Darren Caskey,England,21/08/1974,173cm,Midfielder,32,10,15,,,,,,,,,,,0,,2,0,0,4,3,0,32,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.12,0,0,0,0,0%,0,
566,Darren Anderton,England,03/03/1972,185cm,Midfielder,319,107,126,,,,,,,,,,,0,,32,1,0,37,68,0,319,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.12,0,0,0,0,0%,0,
567,Paul Allen,England,28/08/1962,170cm,Midfielder,82,28,36,,,,,,,,,,,0,,10,0,0,4,5,0,82,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.05,0,0,0,0,0%,0,
568,Vinny Samways,England,27/10/1968,178cm,Midfielder,96,27,41,,,,,,,,,,,0,,13,1,0,5,10,0,96,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.05,0,0,0,0,0%,0,
569,Nick Barmby,England,11/02/1974,170cm,Midfielder,343,99,150,,,,,,,,,,,0,,34,0,24,53,50,641,1.87,12,42,79%,,9,38,26,5,,62,82,96,2,27,40,0,36,31%,12,2,0,0,1,1,0.15,0,0,34,8,24%,0,
570,Scott Houghton,England,22/10/1971,170cm,Midfielder,0,0,0,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0%,0,
